colony_id,x,y,frame,position,replicate,hours,x_um,y_um,x_bin,y_bin
725,752.1025641025641,240.33333333333337,173,pos20,rep1,14.416666666666666,48.88666666666667,15.62166666666667,"(45.0, 50.0]","(15.0, 20.0]"
736,125.32857142857142,267.24285714285713,24,pos24,rep1,2.0,8.146357142857143,17.370785714285713,"(5.0, 10.0]","(15.0, 20.0]"
828,382.84313725490193,525.2745098039215,80,pos26,rep1,6.666666666666666,24.884803921568626,34.1428431372549,"(20.0, 25.0]","(30.0, 35.0]"
910,48.323076923076925,346.32307692307694,15,pos30,rep1,1.25,3.1410000000000005,22.511000000000003,"(-0.001, 5.0]","(20.0, 25.0]"
911,235.02777777777777,391.75,26,pos30,rep1,2.1666666666666665,15.276805555555555,25.46375,"(15.0, 20.0]","(25.0, 30.0]"
920,241.1570247933884,284.91735537190084,47,pos30,rep1,3.9166666666666665,15.675206611570246,18.519628099173556,"(15.0, 20.0]","(15.0, 20.0]"
921,557.5333333333333,232.55555555555551,48,pos30,rep1,4.0,36.239666666666665,15.11611111111111,"(35.0, 40.0]","(15.0, 20.0]"
922,164.31055900621118,265.3354037267081,49,pos30,rep1,4.083333333333333,10.680186335403727,17.246801242236025,"(10.0, 15.0]","(15.0, 20.0]"
923,480.0,448.29761904761904,50,pos30,rep1,4.166666666666666,31.200000000000003,29.13934523809524,"(30.0, 35.0]","(25.0, 30.0]"
932,488.7894736842105,398.5,70,pos30,rep1,5.833333333333333,31.771315789473686,25.9025,"(30.0, 35.0]","(25.0, 30.0]"
946,723.6582278481013,228.7594936708861,82,pos30,rep1,6.833333333333333,47.03778481012659,14.869367088607596,"(45.0, 50.0]","(10.0, 15.0]"
959,725.6609195402299,237.73563218390805,91,pos30,rep1,7.583333333333333,47.16795977011495,15.452816091954023,"(45.0, 50.0]","(15.0, 20.0]"
977,748.9801324503311,377.841059602649,113,pos30,rep1,9.416666666666666,48.68370860927152,24.559668874172186,"(45.0, 50.0]","(20.0, 25.0]"
1096,398.26,613.855,8,pos32,rep1,0.6666666666666666,25.8869,39.900575,"(25.0, 30.0]","(35.0, 40.0]"
1104,356.3965517241379,434.3965517241379,12,pos32,rep1,1.0,23.165775862068966,28.235775862068966,"(20.0, 25.0]","(25.0, 30.0]"
1111,473.7755102040816,419.81632653061223,16,pos32,rep1,1.3333333333333333,30.795408163265307,27.288061224489795,"(30.0, 35.0]","(25.0, 30.0]"
1112,335.2266009852217,540.5098522167488,16,pos32,rep1,1.3333333333333333,21.78972906403941,35.13314039408867,"(20.0, 25.0]","(35.0, 40.0]"
1116,198.3763440860215,675.5376344086021,17,pos32,rep1,1.4166666666666665,12.894462365591398,43.909946236559136,"(10.0, 15.0]","(40.0, 45.0]"
1120,424.0634920634921,584.8095238095239,20,pos32,rep1,1.6666666666666665,27.56412698412699,38.012619047619054,"(25.0, 30.0]","(35.0, 40.0]"
1127,524.171875,512.3125,22,pos32,rep1,1.8333333333333333,34.071171875000005,33.300312500000004,"(30.0, 35.0]","(30.0, 35.0]"
1131,701.8787878787879,390.5,26,pos32,rep1,2.1666666666666665,45.622121212121215,25.3825,"(45.0, 50.0]","(25.0, 30.0]"
1141,191.31521739130432,300.89130434782606,33,pos32,rep1,2.75,12.435489130434782,19.557934782608694,"(10.0, 15.0]","(15.0, 20.0]"
1155,625.7272727272727,501.1969696969697,38,pos32,rep1,3.1666666666666665,40.67227272727273,32.57780303030303,"(40.0, 45.0]","(30.0, 35.0]"
1166,646.2173913043479,594.8913043478261,40,pos32,rep1,3.333333333333333,42.00413043478261,38.6679347826087,"(40.0, 45.0]","(35.0, 40.0]"
1191,717.0526315789474,332.5,53,pos32,rep1,4.416666666666666,46.608421052631584,21.6125,"(45.0, 50.0]","(20.0, 25.0]"
167,109.17619773839546,370.725914829982,0,pos4,rep1,0.0,7.096452852995705,24.09718446394883,"(5.0, 10.0]","(20.0, 25.0]"
168,169.82164027959362,445.0165819429498,0,pos4,rep1,0.0,11.038406618173585,28.92607782629174,"(10.0, 15.0]","(25.0, 30.0]"
1,505.4872387566007,521.1542266146791,0,pos6,rep1,0.0,32.85667051917905,33.87502472995415,"(30.0, 35.0]","(30.0, 35.0]"
348,306.663737000723,389.70921567970294,0,pos8,rep1,0.0,19.933142905046996,25.33109901918069,"(15.0, 20.0]","(25.0, 30.0]"
516,267.7465904724353,421.90839058397023,34,pos12,rep1,2.833333333333333,17.403528380708295,27.424045387958067,"(15.0, 20.0]","(25.0, 30.0]"
1,678.2521236322941,371.70955573846135,0,pos16,rep1,0.0,44.086388036099116,24.161121122999987,"(40.0, 45.0]","(20.0, 25.0]"
659,337.7843899496964,480.88998481855975,0,pos18,rep1,0.0,21.955985346730266,31.257849013206386,"(20.0, 25.0]","(30.0, 35.0]"
660,441.542243808927,527.3487253525436,0,pos18,rep1,0.0,28.70024584758026,34.27766714791534,"(25.0, 30.0]","(30.0, 35.0]"
726,471.9376217808282,495.1364507022397,0,pos20,rep1,0.0,30.675945415753834,32.18386929564558,"(30.0, 35.0]","(30.0, 35.0]"
727,213.22417365271443,444.3177376770745,20,pos20,rep1,1.6666666666666665,13.859571287426439,28.880652949009843,"(10.0, 15.0]","(25.0, 30.0]"
728,645.9532148669999,378.09941464428346,30,pos20,rep1,2.5,41.986958966355,24.576461951878425,"(40.0, 45.0]","(20.0, 25.0]"
798,242.29282264610447,238.66481588170535,0,pos24,rep1,0.0,15.74903347199679,15.513213032310848,"(15.0, 20.0]","(15.0, 20.0]"
799,495.4095563360166,397.2439743380358,0,pos24,rep1,0.0,32.20162116184108,25.820858331972328,"(30.0, 35.0]","(25.0, 30.0]"
800,483.21115953168345,462.8103571613263,0,pos24,rep1,0.0,31.408725369559427,30.08267321548621,"(30.0, 35.0]","(30.0, 35.0]"
801,718.0302980150959,330.1527919142037,0,pos24,rep1,0.0,46.67196937098124,21.459931474423243,"(45.0, 50.0]","(20.0, 25.0]"
900,721.1488101441225,412.7504987020501,0,pos26,rep1,0.0,46.87467265936797,26.828782415633256,"(45.0, 50.0]","(25.0, 30.0]"
901,395.93762640623544,511.8624785078823,0,pos26,rep1,0.0,25.735945716405304,33.27106110301235,"(25.0, 30.0]","(30.0, 35.0]"
902,735.0864323043177,278.0201511534968,64,pos26,rep1,5.333333333333333,47.78061809978065,18.07130982497729,"(45.0, 50.0]","(15.0, 20.0]"
1395,559.0955114161437,310.3411306107299,0,pos32,rep1,0.0,36.34120824204934,20.172173489697446,"(35.0, 40.0]","(20.0, 25.0]"
1396,562.1754334176688,350.38011663055704,0,pos32,rep1,0.0,36.54140317214848,22.77470758098621,"(35.0, 40.0]","(20.0, 25.0]"
1397,203.36452023998737,270.30214459090274,0,pos32,rep1,0.0,13.21869381559918,17.56963939840868,"(10.0, 15.0]","(15.0, 20.0]"
1398,278.8226092773539,313.42105261225504,0,pos32,rep1,0.0,18.123469603028003,20.37236841979658,"(15.0, 20.0]","(20.0, 25.0]"
1399,224.9239742506636,393.4990246519093,46,pos32,rep1,3.833333333333333,14.620058326293135,25.577436602374103,"(10.0, 15.0]","(25.0, 30.0]"
1400,254.1832332651526,510.5360607098655,46,pos32,rep1,3.833333333333333,16.52191016223492,33.18484394614126,"(15.0, 20.0]","(30.0, 35.0]"
1401,737.7309875046033,314.96101361301766,0,pos32,rep1,0.0,47.95251418779922,20.472465884846148,"(45.0, 50.0]","(20.0, 25.0]"
978,568.4808489274549,284.2146498913614,19,pos30,rep1,1.5833333333333333,36.95125518028457,18.47395224293849,"(35.0, 40.0]","(15.0, 20.0]"
979,703.2111964760081,281.11740052242914,0,pos30,rep1,0.0,45.70872777094053,18.272631033957893,"(45.0, 50.0]","(15.0, 20.0]"
980,562.2863501895904,384.8752543816598,18,pos30,rep1,1.5,36.54861276232338,25.016891534807886,"(35.0, 40.0]","(25.0, 30.0]"
981,503.4386121798775,364.7431334836001,18,pos30,rep1,1.5,32.72350979169204,23.708303676434006,"(30.0, 35.0]","(20.0, 25.0]"
