strain,replicate,metric,intensity
svs002-svp005,rep1,median_mcherry,40583.0
svs002-svp005,rep1,median_mcherry,68231.0
svs002-svp005,rep1,median_mcherry,47392.0
svs002-svp005,rep1,median_mcherry,83388.0
svs002-svp005,rep1,median_mcherry,15403.0
svs002-svp005,rep1,median_mcherry,61143.0
svs002-svp005,rep1,median_mcherry,16801.0
svs002-svp005,rep1,median_mcherry,36576.0
svs002-svp005,rep1,median_mcherry,20733.0
svs002-svp005,rep1,median_mcherry,10429.0
svs002-svp005,rep1,median_mcherry,12556.0
svs002-svp005,rep1,median_mcherry,47520.0
svs002-svp005,rep1,median_mcherry,23272.0
svs002-svp005,rep1,median_mcherry,16422.0
svs002-svp005,rep1,median_mcherry,34918.0
svs002-svp005,rep1,median_mcherry,16649.0
svs002-svp005,rep1,median_mcherry,1206.0
svs002-svp005,rep1,median_mcherry,43967.0
svs002-svp005,rep1,median_mcherry,43057.0
svs002-svp005,rep1,median_mcherry,97927.0
svs002-svp005,rep1,median_mcherry,27220.0
svs002-svp005,rep1,median_mcherry,44169.0
svs002-svp005,rep1,median_mcherry,937.0
svs002-svp005,rep1,median_mcherry,1664.0
svs002-svp005,rep1,median_mcherry,769.0
svs002-svp005,rep1,median_mcherry,47292.0
svs002-svp005,rep1,median_mcherry,39741.0
svs002-svp005,rep1,median_mcherry,13458.0
svs002-svp005,rep1,median_mcherry,97434.0
svs002-svp005,rep1,median_mcherry,60349.0
svs002-svp005,rep1,median_mcherry,59760.0
svs002-svp005,rep1,median_mcherry,38753.0
svs002-svp005,rep1,median_mcherry,45418.0
svs002-svp005,rep1,median_mcherry,1072.0
svs002-svp005,rep1,median_mcherry,26830.0
svs002-svp005,rep1,median_mcherry,38945.0
svs002-svp005,rep1,median_mcherry,1136.0
svs002-svp005,rep1,median_mcherry,24952.0
svs002-svp005,rep1,median_mcherry,126793.0
svs002-svp005,rep1,median_mcherry,36046.0
svs002-svp005,rep1,median_mcherry,58756.0
svs002-svp005,rep1,median_mcherry,1156.0
svs002-svp005,rep1,median_mcherry,13881.0
svs002-svp005,rep1,median_mcherry,40395.0
svs002-svp005,rep1,median_mcherry,49040.0
svs002-svp005,rep1,median_mcherry,53721.0
svs002-svp005,rep1,median_mcherry,33380.0
svs002-svp005,rep1,median_mcherry,17453.0
svs002-svp005,rep1,median_mcherry,14041.0
svs002-svp005,rep1,median_mcherry,17068.0
svs002-svp005,rep1,median_mcherry,112333.0
svs002-svp005,rep1,median_mcherry,22761.0
svs002-svp005,rep1,median_mcherry,28467.0
svs002-svp005,rep1,median_mcherry,783.0
svs002-svp005,rep1,median_mcherry,58744.0
svs002-svp005,rep1,median_mcherry,42549.0
svs002-svp005,rep1,median_mcherry,13261.0
svs002-svp005,rep1,median_mcherry,38588.0
svs002-svp005,rep1,median_mcherry,1052.0
svs002-svp005,rep1,median_mcherry,1252.0
svs002-svp005,rep1,median_mcherry,45636.0
svs002-svp005,rep1,median_mcherry,35067.0
svs002-svp005,rep1,median_mcherry,46680.0
svs002-svp005,rep1,median_mcherry,1765.0
svs002-svp005,rep1,median_mcherry,1284.0
svs002-svp005,rep1,median_mcherry,105229.0
svs002-svp005,rep1,median_mcherry,54309.0
svs002-svp005,rep1,median_mcherry,1010.0
svs002-svp005,rep1,median_mcherry,24156.0
svs002-svp005,rep1,median_mcherry,67475.0
svs002-svp005,rep1,median_mcherry,51272.0
svs002-svp005,rep1,median_mcherry,17787.0
svs002-svp005,rep1,median_mcherry,27564.0
svs002-svp005,rep1,median_mcherry,41524.0
svs002-svp005,rep1,median_mcherry,44268.0
svs002-svp005,rep1,median_mcherry,18420.0
svs002-svp005,rep1,median_mcherry,56577.0
svs002-svp005,rep1,median_mcherry,795.0
svs002-svp005,rep1,median_mcherry,1284.0
svs002-svp005,rep1,median_mcherry,125573.0
svs002-svp005,rep1,median_mcherry,37900.0
svs002-svp005,rep1,median_mcherry,43828.0
svs002-svp005,rep1,median_mcherry,12885.0
svs002-svp005,rep1,median_mcherry,46562.0
svs002-svp005,rep1,median_mcherry,23440.0
svs002-svp005,rep1,median_mcherry,43958.0
svs002-svp005,rep1,median_mcherry,45824.0
svs002-svp005,rep1,median_mcherry,58072.0
svs002-svp005,rep1,median_mcherry,82783.0
svs002-svp005,rep1,median_mcherry,50311.0
svs002-svp005,rep1,median_mcherry,38160.0
svs002-svp005,rep1,median_mcherry,43541.0
svs002-svp005,rep1,median_mcherry,1658.0
