colony_id,x,y,frame,position,replicate,hours,x_um,y_um,x_bin,y_bin
109,151.70325203252034,183.609756097561,45,pos1,rep1,3.75,9.860711382113822,11.934634146341464,"(5.0, 10.0]","(10.0, 15.0]"
110,126.75392670157068,247.2460732984293,45,pos1,rep1,3.75,8.239005235602095,16.070994764397906,"(5.0, 10.0]","(15.0, 20.0]"
111,207.18571428571428,280.8142857142857,45,pos1,rep1,3.75,13.46707142857143,18.25292857142857,"(10.0, 15.0]","(15.0, 20.0]"
112,36.7536231884058,165.0,46,pos1,rep1,3.833333333333333,2.388985507246377,10.725,"(-0.001, 5.0]","(10.0, 15.0]"
115,36.59375,226.61458333333337,49,pos1,rep1,4.083333333333333,2.3785937500000003,14.729947916666669,"(-0.001, 5.0]","(10.0, 15.0]"
122,305.81060606060606,263.02272727272725,54,pos1,rep1,4.5,19.877689393939395,17.09647727272727,"(15.0, 20.0]","(15.0, 20.0]"
123,453.53333333333336,334.275,54,pos1,rep1,4.5,29.47966666666667,21.727875,"(25.0, 30.0]","(20.0, 25.0]"
127,390.81632653061223,405.0612244897959,57,pos1,rep1,4.75,25.403061224489797,26.328979591836735,"(25.0, 30.0]","(25.0, 30.0]"
155,658.2222222222222,253.77777777777777,65,pos1,rep1,5.416666666666666,42.78444444444444,16.495555555555555,"(40.0, 45.0]","(15.0, 20.0]"
183,470.2857142857143,248.28571428571428,71,pos1,rep1,5.916666666666666,30.568571428571428,16.138571428571428,"(30.0, 35.0]","(15.0, 20.0]"
200,740.451476793249,197.37552742616035,80,pos1,rep1,6.666666666666666,48.12934599156118,12.829409282700423,"(45.0, 50.0]","(10.0, 15.0]"
205,312.94444444444446,265.15277777777777,82,pos1,rep1,6.833333333333333,20.34138888888889,17.234930555555557,"(20.0, 25.0]","(15.0, 20.0]"
212,668.8695652173913,327.7173913043478,86,pos1,rep1,7.166666666666666,43.47652173913043,21.30163043478261,"(40.0, 45.0]","(20.0, 25.0]"
259,31.053333333333335,155.56,43,pos2,rep1,3.583333333333333,2.018466666666667,10.1114,"(-0.001, 5.0]","(10.0, 15.0]"
260,49.05263157894737,249.5,45,pos2,rep1,3.75,3.188421052631579,16.2175,"(-0.001, 5.0]","(15.0, 20.0]"
261,99.34545454545454,271.6909090909091,47,pos2,rep1,3.9166666666666665,6.457454545454546,17.659909090909093,"(5.0, 10.0]","(15.0, 20.0]"
264,229.18571428571428,207.0857142857143,50,pos2,rep1,4.166666666666666,14.89707142857143,13.460571428571429,"(10.0, 15.0]","(10.0, 15.0]"
265,323.96835443037975,106.71518987341771,51,pos2,rep1,4.25,21.057943037974685,6.9364873417721515,"(20.0, 25.0]","(5.0, 10.0]"
266,711.036809815951,144.31901840490798,51,pos2,rep1,4.25,46.21739263803681,9.380736196319019,"(45.0, 50.0]","(5.0, 10.0]"
269,255.6504854368932,453.0922330097088,60,pos2,rep1,5.0,16.61728155339806,29.450995145631076,"(15.0, 20.0]","(25.0, 30.0]"
273,340.8394495412844,408.1559633027523,67,pos2,rep1,5.583333333333333,22.154564220183488,26.5301376146789,"(20.0, 25.0]","(25.0, 30.0]"
305,49.0,451.0,53,pos3,rep1,4.416666666666666,3.185,29.315,"(-0.001, 5.0]","(25.0, 30.0]"
306,78.94594594594595,392.85135135135135,55,pos3,rep1,4.583333333333333,5.131486486486487,25.53533783783784,"(5.0, 10.0]","(25.0, 30.0]"
310,168.85,346.6125,62,pos3,rep1,5.166666666666666,10.97525,22.529812500000002,"(10.0, 15.0]","(20.0, 25.0]"
311,184.1803278688525,217.37704918032787,63,pos3,rep1,5.25,11.971721311475411,14.129508196721313,"(10.0, 15.0]","(10.0, 15.0]"
312,456.0480769230769,342.7019230769231,64,pos3,rep1,5.333333333333333,29.643125,22.275625,"(25.0, 30.0]","(20.0, 25.0]"
321,212.72222222222223,168.72222222222223,89,pos3,rep1,7.416666666666666,13.826944444444445,10.966944444444445,"(10.0, 15.0]","(10.0, 15.0]"
322,496.254691689008,348.7184986595174,89,pos3,rep1,7.416666666666666,32.25655495978552,22.666702412868634,"(30.0, 35.0]","(20.0, 25.0]"
