colony_id,x,y,frame,position,replicate,hours,x_um,y_um,x_bin,y_bin
1086,555.4444444444445,401.4603174603174,51,pos2,rep1,4.25,36.10388888888889,26.094920634920634,"(35.0, 40.0]","(25.0, 30.0]"
1089,731.5,322.5,52,pos2,rep1,4.333333333333333,47.5475,20.962500000000002,"(45.0, 50.0]","(20.0, 25.0]"
1105,288.73333333333335,402.76666666666665,53,pos2,rep1,4.416666666666666,18.767666666666667,26.179833333333335,"(15.0, 20.0]","(25.0, 30.0]"
1113,485.904109589041,300.32876712328766,54,pos2,rep1,4.5,31.583767123287668,19.5213698630137,"(30.0, 35.0]","(15.0, 20.0]"
1121,171.46456692913387,180.93700787401573,55,pos2,rep1,4.583333333333333,11.145196850393702,11.760905511811023,"(10.0, 15.0]","(10.0, 15.0]"
1137,222.44615384615383,237.1692307692308,56,pos2,rep1,4.666666666666666,14.459,15.416000000000002,"(10.0, 15.0]","(15.0, 20.0]"
1143,687.8571428571429,397.0571428571429,56,pos2,rep1,4.666666666666666,44.71071428571429,25.808714285714288,"(40.0, 45.0]","(25.0, 30.0]"
1170,477.9821428571428,299.04464285714283,60,pos2,rep1,5.0,31.068839285714283,19.437901785714285,"(30.0, 35.0]","(15.0, 20.0]"
1184,129.59756097560975,347.1036585365854,61,pos2,rep1,5.083333333333333,8.423841463414634,22.56173780487805,"(5.0, 10.0]","(20.0, 25.0]"
1188,284.2324561403509,446.28508771929825,61,pos2,rep1,5.083333333333333,18.47510964912281,29.00853070175439,"(15.0, 20.0]","(25.0, 30.0]"
1212,562.9431818181819,448.6193181818182,63,pos2,rep1,5.25,36.59130681818182,29.16025568181818,"(35.0, 40.0]","(25.0, 30.0]"
1322,463.22222222222223,569.063492063492,74,pos2,rep1,6.166666666666666,30.109444444444446,36.98912698412698,"(30.0, 35.0]","(35.0, 40.0]"
1361,122.793893129771,185.4732824427481,82,pos2,rep1,6.833333333333333,7.981603053435116,12.055763358778625,"(5.0, 10.0]","(10.0, 15.0]"
1526,736.225,253.4,107,pos2,rep1,8.916666666666666,47.854625000000006,16.471,"(45.0, 50.0]","(15.0, 20.0]"
1823,26.348484848484848,212.87878787878788,147,pos2,rep1,12.25,1.7126515151515151,13.837121212121213,"(-0.001, 5.0]","(10.0, 15.0]"
1882,381.93220338983053,288.728813559322,154,pos2,rep1,12.833333333333332,24.825593220338984,18.767372881355932,"(20.0, 25.0]","(15.0, 20.0]"
2102,473.9344262295082,303.2950819672131,175,pos2,rep1,14.583333333333332,30.805737704918034,19.714180327868853,"(30.0, 35.0]","(15.0, 20.0]"
2207,689.2870370370371,203.45833333333337,187,pos2,rep1,15.583333333333332,44.803657407407414,13.22479166666667,"(40.0, 45.0]","(10.0, 15.0]"
2299,351.9130434782609,184.0,196,pos2,rep1,16.333333333333332,22.874347826086957,11.96,"(20.0, 25.0]","(10.0, 15.0]"
2555,549.6984126984127,294.57142857142856,53,pos3,rep1,4.416666666666666,35.730396825396824,19.147142857142857,"(35.0, 40.0]","(15.0, 20.0]"
2561,77.01194029850747,313.8089552238806,56,pos3,rep1,4.666666666666666,5.005776119402985,20.39758208955224,"(5.0, 10.0]","(20.0, 25.0]"
2571,535.5147928994082,299.6390532544379,60,pos3,rep1,5.0,34.808461538461536,19.476538461538464,"(30.0, 35.0]","(15.0, 20.0]"
2620,160.61157024793388,392.107438016529,73,pos3,rep1,6.083333333333333,10.439752066115703,25.486983471074385,"(10.0, 15.0]","(25.0, 30.0]"
2672,301.4339622641509,334.8867924528302,85,pos3,rep1,7.083333333333333,19.59320754716981,21.767641509433965,"(15.0, 20.0]","(20.0, 25.0]"
2679,709.1290322580645,188.04301075268816,86,pos3,rep1,7.166666666666666,46.093387096774194,12.222795698924731,"(45.0, 50.0]","(10.0, 15.0]"
2750,740.109375,221.1875,98,pos3,rep1,8.166666666666666,48.107109375,14.3771875,"(45.0, 50.0]","(10.0, 15.0]"
2817,641.6315789473684,360.2368421052632,107,pos3,rep1,8.916666666666666,41.70605263157895,23.415394736842106,"(40.0, 45.0]","(20.0, 25.0]"
2917,607.4035087719299,335.94736842105266,120,pos3,rep1,10.0,39.48122807017544,21.836578947368423,"(35.0, 40.0]","(20.0, 25.0]"
2972,368.0,373.55555555555554,129,pos3,rep1,10.75,23.92,24.281111111111112,"(20.0, 25.0]","(20.0, 25.0]"
3002,737.0,157.5,133,pos3,rep1,11.083333333333332,47.905,10.2375,"(45.0, 50.0]","(10.0, 15.0]"
3207,17.114583333333332,340.9479166666667,155,pos3,rep1,12.916666666666666,1.1124479166666665,22.161614583333336,"(-0.001, 5.0]","(20.0, 25.0]"
3221,27.83529411764706,292.3529411764706,157,pos3,rep1,13.083333333333332,1.809294117647059,19.00294117647059,"(-0.001, 5.0]","(15.0, 20.0]"
3326,21.23357664233577,275.4051094890511,166,pos3,rep1,13.833333333333332,1.3801824817518251,17.90133211678832,"(-0.001, 5.0]","(15.0, 20.0]"
3859,666.5,275.0,44,pos6,rep1,3.6666666666666665,43.3225,17.875,"(40.0, 45.0]","(15.0, 20.0]"
3860,34.0,292.93589743589746,44,pos6,rep1,3.6666666666666665,2.21,19.040833333333335,"(-0.001, 5.0]","(15.0, 20.0]"
3870,591.0277777777778,373.75,45,pos6,rep1,3.75,38.41680555555556,24.29375,"(35.0, 40.0]","(20.0, 25.0]"
3873,28.63529411764706,324.44117647058823,47,pos6,rep1,3.9166666666666665,1.861294117647059,21.088676470588236,"(-0.001, 5.0]","(20.0, 25.0]"
3909,646.7953795379537,282.013201320132,52,pos6,rep1,4.333333333333333,42.041699669966995,18.33085808580858,"(40.0, 45.0]","(15.0, 20.0]"
3978,253.45454545454547,224.32467532467533,58,pos6,rep1,4.833333333333333,16.474545454545456,14.581103896103897,"(15.0, 20.0]","(10.0, 15.0]"
4031,535.3703703703703,252.5,62,pos6,rep1,5.166666666666666,34.79907407407407,16.4125,"(30.0, 35.0]","(15.0, 20.0]"
4046,737.6524390243902,313.0975609756098,63,pos6,rep1,5.25,47.947408536585364,20.351341463414638,"(45.0, 50.0]","(20.0, 25.0]"
4058,502.4658385093168,204.30434782608697,64,pos6,rep1,5.333333333333333,32.66027950310559,13.279782608695653,"(30.0, 35.0]","(10.0, 15.0]"
4108,178.30357142857142,493.67857142857144,67,pos6,rep1,5.583333333333333,11.589732142857143,32.089107142857145,"(10.0, 15.0]","(30.0, 35.0]"
