colony_id,x,y,frame,position,replicate
8554,361.24962774536095,458.6595284318209,23,pos4,replicate1
8555,36.614576756013264,299.4045977578013,46,pos4,replicate1
8556,652.1961357075121,328.4992485540164,46,pos4,replicate1
8557,538.8801273433058,303.99848998878264,94,pos4,replicate1
8558,174.4313436854533,264.18475732027775,123,pos4,replicate1
13610,85.40513140813046,296.1881189396501,15,pos5,replicate1
13611,649.8625919410782,282.269989775824,15,pos5,replicate1
13612,448.8229484635899,446.1946221497759,37,pos5,replicate1
13613,359.1283382967106,320.93145967534093,37,pos5,replicate1
13614,284.898316089638,254.43373144817176,73,pos5,replicate1
13615,433.3583605037832,426.09065780202707,83,pos5,replicate1
13616,451.9158660555513,379.6968939226067,83,pos5,replicate1
19093,416.8895512214981,148.9418488649539,10,pos6,replicate1
19094,572.6053897466261,180.68973827298973,36,pos6,replicate1
1,144.2057649309361,133.82380628969878,12,pos7,replicate_1
2,363.41738227213585,105.099525396714,12,pos7,replicate_1
3,169.9064373088699,416.5312024469702,12,pos7,replicate_1
4,386.0944461350186,324.3111427379137,12,pos7,replicate_1
5,692.9907104126983,369.6652704636792,26,pos7,replicate_1
6,133.6231351282575,340.9409895706944,37,pos7,replicate_1
7,478.3145058440751,321.2875342228627,37,pos7,replicate_1
8,392.14166316512063,345.47640234327093,37,pos7,replicate_1
9,392.14166316512063,253.2563426342145,37,pos7,replicate_1
10,510.0623952521109,390.8305300690364,37,pos7,replicate_1
11,76.17457334228791,443.7436790824295,44,pos7,replicate_1
12,576.5817825832335,343.9645980857454,60,pos7,replicate_1
23168,511.8963643982612,491.4156463894356,13,pos8,replicate1
23169,551.1469606828729,456.6939650607407,13,pos8,replicate1
23170,629.6481532520963,292.1433883290993,10,pos8,replicate1
23171,511.8963643982612,375.17349585423943,10,pos8,replicate1
23172,436.41444846631555,459.7132416980185,10,pos8,replicate1
23173,271.8638717346742,426.5011986879624,18,pos8,replicate1
23174,205.4397857145621,500.4734763012691,18,pos8,replicate1
23175,93.72655013528262,325.35543133915536,18,pos8,replicate1
23176,223.55544553822904,274.0277285054323,18,pos8,replicate1
23177,267.3349567787575,355.5481977119336,26,pos8,replicate1
23178,513.4060027169,431.0301136438792,26,pos8,replicate1
23179,596.4361102420402,452.16505010482393,26,pos8,replicate1
23180,388.1060222698704,215.1518340785148,39,pos8,replicate1
23181,314.13374465656375,243.83496213265417,39,pos8,replicate1
23182,244.69038199917375,283.0855584172658,39,pos8,replicate1
23183,457.54938492726035,367.6253042610449,55,pos8,replicate1
29302,57.536391475497325,286.456797096061,8,pos9,replicate1
29303,649.752132119007,396.5672614368141,8,pos9,replicate1
29304,505.4181450777496,344.48798776213357,8,pos9,replicate1
29305,262.8775276785233,459.0623898464307,10,pos9,replicate1
29306,210.79825400384277,490.30995405123895,10,pos9,replicate1
29307,277.7573201570034,398.05524068466207,10,pos9,replicate1
29308,356.62022029294815,182.2982497467,13,pos9,replicate1
29309,471.1946223772453,197.17804222518012,13,pos9,replicate1
29310,637.8482981362229,380.1994897104859,16,pos9,replicate1
29311,725.6390737592558,271.5770046175809,16,pos9,replicate1
29312,715.2232190243196,209.08187620796423,23,pos9,replicate1
29313,627.4324434012868,170.39441576391587,23,pos9,replicate1
29314,573.8651904787583,228.42560642998845,23,pos9,replicate1
29315,503.9301658299016,280.504880104669,24,pos9,replicate1
29316,438.459078924589,280.504880104669,24,pos9,replicate1
29317,395.3076807369966,268.60104612188485,18,pos9,replicate1
29318,378.9399090106684,368.2956557277018,18,pos9,replicate1
29319,64.97628771473737,444.1825973679505,21,pos9,replicate1
29320,123.00747838080991,418.8869501545343,21,pos9,replicate1
29321,75.39214244967346,356.3918217449177,21,pos9,replicate1
29322,676.5357585802712,351.9278840013736,26,pos9,replicate1
29323,597.6728584443265,344.48798776213357,37,pos9,replicate1
29324,377.4519297628203,372.75959347124586,17,pos9,replicate1
29325,231.62996347371495,301.33658957454116,24,pos9,replicate1
