Target,Donor,Supernatant,Antibiotics,Timepoint,Replicates,Colonies,Dilution,CFU,Survival
SVS002,Tn mucA,1mM cumate,Tobramycin (58µg/ml),0h,3,34,1e-05,679999999.9999999,1.0
SVS002,Tn mucA,1mM cumate,Tobramycin (58µg/ml),1h,1,28,1e-05,560000000.0,0.6222222222222222
SVS002,Tn mucA,1mM cumate,Tobramycin (58µg/ml),1h,2,34,1e-05,679999999.9999999,1.4166666666666665
SVS002,Tn mucA,1mM cumate,Tobramycin (58µg/ml),1h,3,46,1e-05,920000000.0,1.3529411764705885
SVS002,Tn mucA,1mM cumate,Tobramycin (58µg/ml),4h,1,8,1e-05,159999999.99999997,0.17777777777777776
SVS002,Tn mucA,1mM cumate,Tobramycin (58µg/ml),4h,2,12,1e-05,240000000.0,0.5
SVS002,Tn mucA,1mM cumate,Tobramycin (58µg/ml),4h,3,10,1e-05,199999999.99999997,0.29411764705882354
SVS002,Tn mucA,1mM cumate,Tobramycin (58µg/ml),8h,1,25,0.0001,50000000.0,0.05555555555555555
SVS002,Tn mucA,1mM cumate,Tobramycin (58µg/ml),8h,2,23,0.0001,46000000.0,0.09583333333333334
SVS002,Tn mucA,1mM cumate,Tobramycin (58µg/ml),8h,3,21,0.0001,42000000.0,0.06176470588235295
SVS002,Tn mucA,1mM cumate,Tobramycin (58µg/ml),24h,1,1,1.0,200.0,2.2222222222222222e-07
SVS002,Tn mucA,1mM cumate,Tobramycin (58µg/ml),24h,2,1,1.0,200.0,4.1666666666666667e-07
SVS002,Tn mucA,1mM cumate,Tobramycin (58µg/ml),24h,3,1,1.0,200.0,2.9411764705882356e-07
SVS002,Tn pqsL,1mM cumate,Tobramycin (58µg/ml),0h,1,42,1e-05,840000000.0,1.0
SVS002,Tn pqsL,1mM cumate,Tobramycin (58µg/ml),0h,2,30,1e-05,599999999.9999999,1.0
SVS002,Tn pqsL,1mM cumate,Tobramycin (58µg/ml),0h,3,27,1e-05,540000000.0,1.0
SVS002,Tn pqsL,1mM cumate,Tobramycin (58µg/ml),1h,1,13,0.01,260000.0,0.0003095238095238095
SVS002,Tn pqsL,1mM cumate,Tobramycin (58µg/ml),1h,2,12,0.01,240000.0,0.0004000000000000001
SVS002,Tn pqsL,1mM cumate,Tobramycin (58µg/ml),1h,3,9,0.01,180000.0,0.0003333333333333333
SVS002,Tn pqsL,1mM cumate,Tobramycin (58µg/ml),4h,1,1,1.0,200.0,2.380952380952381e-07
SVS002,Tn pqsL,1mM cumate,Tobramycin (58µg/ml),4h,2,1,1.0,200.0,3.333333333333334e-07
SVS002,Tn pqsL,1mM cumate,Tobramycin (58µg/ml),4h,3,1,1.0,200.0,3.7037037037037036e-07
SVS002,Tn pqsL,1mM cumate,Tobramycin (58µg/ml),8h,1,1,1.0,200.0,2.380952380952381e-07
SVS002,Tn pqsL,1mM cumate,Tobramycin (58µg/ml),8h,2,1,1.0,200.0,3.333333333333334e-07
SVS002,Tn pqsL,1mM cumate,Tobramycin (58µg/ml),8h,3,1,1.0,200.0,3.7037037037037036e-07
SVS002,Tn pqsL,1mM cumate,Tobramycin (58µg/ml),24h,1,1,1.0,200.0,2.380952380952381e-07
SVS002,Tn pqsL,1mM cumate,Tobramycin (58µg/ml),24h,2,1,1.0,200.0,3.333333333333334e-07
SVS002,Tn pqsL,1mM cumate,Tobramycin (58µg/ml),24h,3,1,1.0,200.0,3.7037037037037036e-07
SVS002,Tn rhlA,1mM cumate,Tobramycin (58µg/ml),0h,1,38,1e-05,759999999.9999999,1.0
SVS002,Tn rhlA,1mM cumate,Tobramycin (58µg/ml),0h,2,25,1e-05,500000000.0,1.0
SVS002,Tn rhlA,1mM cumate,Tobramycin (58µg/ml),0h,3,24,1e-05,480000000.0,1.0
SVS002,Tn rhlA,1mM cumate,Tobramycin (58µg/ml),1h,1,28,1e-05,560000000.0,0.736842105263158
SVS002,Tn rhlA,1mM cumate,Tobramycin (58µg/ml),1h,2,37,1e-05,739999999.9999999,1.4799999999999998
SVS002,Tn rhlA,1mM cumate,Tobramycin (58µg/ml),1h,3,29,1e-05,579999999.9999999,1.208333333333333
SVS002,Tn rhlA,1mM cumate,Tobramycin (58µg/ml),4h,1,4,1e-05,79999999.99999999,0.10526315789473684
SVS002,Tn rhlA,1mM cumate,Tobramycin (58µg/ml),4h,2,9,1e-05,179999999.99999997,0.35999999999999993
SVS002,Tn rhlA,1mM cumate,Tobramycin (58µg/ml),4h,3,9,1e-05,179999999.99999997,0.37499999999999994
SVS002,Tn rhlA,1mM cumate,Tobramycin (58µg/ml),8h,1,12,0.0001,24000000.0,0.03157894736842106
SVS002,Tn rhlA,1mM cumate,Tobramycin (58µg/ml),8h,2,9,0.0001,18000000.0,0.036
SVS002,Tn rhlA,1mM cumate,Tobramycin (58µg/ml),8h,3,9,0.0001,18000000.0,0.0375
SVS002,Tn rhlA,1mM cumate,Tobramycin (58µg/ml),24h,1,1,1.0,200.0,2.6315789473684213e-07
SVS002,Tn rhlA,1mM cumate,Tobramycin (58µg/ml),24h,2,1,1.0,200.0,4e-07
SVS002,Tn rhlA,1mM cumate,Tobramycin (58µg/ml),24h,3,1,1.0,200.0,4.1666666666666667e-07
SVS002,Tn toxA,1mM cumate,Tobramycin (58µg/ml),0h,1,44,1e-05,880000000.0,1.0
SVS002,Tn toxA,1mM cumate,Tobramycin (58µg/ml),0h,2,39,1e-05,779999999.9999999,1.0
SVS002,Tn toxA,1mM cumate,Tobramycin (58µg/ml),0h,3,35,1e-05,699999999.9999999,1.0
SVS002,Tn toxA,1mM cumate,Tobramycin (58µg/ml),1h,1,42,1e-05,840000000.0,0.9545454545454546
SVS002,Tn toxA,1mM cumate,Tobramycin (58µg/ml),1h,2,31,1e-05,619999999.9999999,0.7948717948717948
SVS002,Tn toxA,1mM cumate,Tobramycin (58µg/ml),1h,3,31,1e-05,619999999.9999999,0.8857142857142857
SVS002,Tn toxA,1mM cumate,Tobramycin (58µg/ml),4h,1,12,1e-05,240000000.0,0.2727272727272727
SVS002,Tn toxA,1mM cumate,Tobramycin (58µg/ml),4h,2,9,1e-05,179999999.99999997,0.23076923076923075
SVS002,Tn toxA,1mM cumate,Tobramycin (58µg/ml),4h,3,5,1e-05,99999999.99999999,0.14285714285714285
SVS002,Tn toxA,1mM cumate,Tobramycin (58µg/ml),8h,1,18,0.0001,36000000.0,0.04090909090909091
SVS002,Tn toxA,1mM cumate,Tobramycin (58µg/ml),8h,2,18,0.0001,36000000.0,0.04615384615384616
SVS002,Tn toxA,1mM cumate,Tobramycin (58µg/ml),8h,3,16,0.0001,32000000.0,0.04571428571428572
SVS002,Tn toxA,1mM cumate,Tobramycin (58µg/ml),24h,1,1,1.0,200.0,2.2727272727272726e-07
SVS002,Tn toxA,1mM cumate,Tobramycin (58µg/ml),24h,2,1,1.0,200.0,2.5641025641025647e-07
SVS002,Tn toxA,1mM cumate,Tobramycin (58µg/ml),24h,3,1,1.0,200.0,2.8571428571428575e-07
SVS002,∆5183,1mM cumate,Tobramycin (58µg/ml),0h,1,43,1e-05,860000000.0,1.0
SVS002,∆5183,1mM cumate,Tobramycin (58µg/ml),0h,2,39,1e-05,779999999.9999999,1.0
