pos,y_bin_label,time_hours,mean_intensity,std_intensity,n_cells,y_min,y_max
pos18,Back,4.333333333333333,281.23160498353866,20.3606998550809,1336,4.469387755102041,241.57142857142856
pos18,Back,4.416666666666666,280.300789702503,20.286888302144874,1376,4.0,241.484375
pos18,Back,4.5,276.739442792399,18.708737872355048,1329,3.977777777777778,241.5
pos18,Back,4.583333333333333,274.23487488031367,17.478942913500276,1354,4.0,241.56603773584905
pos18,Back,4.666666666666666,270.5640980433169,16.62158833686616,1062,4.934782608695652,241.44262295081967
pos18,Back,4.75,268.37239715861307,17.25132533802017,1082,4.630769230769231,240.94736842105263
pos18,Back,4.833333333333333,266.81698866272455,16.308061269995495,1037,4.773584905660377,241.57777777777775
pos18,Back,4.916666666666666,265.9633375551166,16.41292601639286,1345,4.3125,241.6129032258065
pos18,Back,5.0,263.907058985177,15.437389450549855,1331,3.5,241.609756097561
pos18,Back,5.083333333333333,263.07631269122675,14.519590633387391,1289,3.976744186046512,241.55555555555551
pos18,Back,5.166666666666666,262.31770440954045,14.75724550303616,1351,4.0,241.58536585365857
pos18,Back,5.25,261.70875535497476,15.045004311979323,1347,4.065217391304348,241.5
pos18,Back,5.333333333333333,260.55680161677924,14.5971832092949,1342,4.081081081081081,241.45
pos18,Back,5.416666666666666,260.93686961375306,14.99708518037911,1351,4.0,241.44827586206895
pos18,Back,5.5,259.0088444670957,14.659107769051216,1364,3.3947368421052633,241.42857142857144
pos18,Back,5.583333333333333,258.6028990095455,14.46757585561822,1370,3.9361702127659575,241.45454545454547
pos18,Back,5.666666666666666,257.45801208006236,13.990829416014334,1370,4.444444444444445,241.55555555555551
pos18,Back,5.75,256.3768524912901,14.228117072071077,1369,3.6153846153846154,241.54054054054055
pos18,Back,5.833333333333333,255.605967458011,14.12088546662563,1371,3.4242424242424243,240.87755102040816
pos18,Back,5.916666666666666,254.1223080039492,13.70857063782713,1369,3.980392156862745,241.5806451612903
pos18,Back,6.0,252.98459186222533,13.477703233880844,1232,4.5,241.54237288135593
